500		359.664	362.017	355.988	355.090	352.749	351.005	349.244	350.380	343.670	343.910	338.825	337.123	333.822	331.053	327.881	324.641	321.246	317.683	313.979	310.169	306.240	302.231	298.106	293.904	289.665	285.517	281.884	280.932
62.0	14.007	17.666	13.833	17.501	17.105	16.986	16.590	16.418	13.526	16.504	16.198	16.046	15.828	15.556	15.266	14.975	14.668	14.341	13.991	13.616	13.200	12.834	12.516	12.171	11.827	11.414	10.953	10.443
63.0	14.045	17.641	13.869	17.475	17.083	16.965	16.571	16.400	13.555	16.480	16.175	16.024	15.806	15.535	15.242	14.951	14.645	14.318	13.967	13.592	13.174	12.807	12.488	12.139	11.796	11.381	10.923	10.424
64.0	14.080	17.613	13.902	17.446	17.059	16.941	16.551	16.379	13.582	16.452	16.149	15.999	15.782	15.511	15.215	14.925	14.619	14.291	13.941	13.566	13.145	12.778	12.457	12.105	11.762	11.346	10.890	10.401
65.0	14.112	17.584	13.932	17.415	17.032	16.914	16.527	16.355	13.606	16.421	16.121	15.971	15.754	15.484	15.186	14.896	14.590	14.262	13.912	13.537	13.113	12.745	12.424	12.068	11.725	11.308	10.854	10.374
66.0	14.141	17.552	13.959	17.382	17.003	16.885	16.501	16.329	13.626	16.388	16.090	15.941	15.724	15.454	15.154	14.864	14.558	14.231	13.881	13.506	13.079	12.710	12.387	12.028	11.685	11.267	10.814	10.344
67.0	14.166	17.517	13.983	17.346	16.972	16.853	16.472	16.300	13.644	16.353	16.056	15.907	15.692	15.422	15.120	14.829	14.524	14.196	13.846	13.471	13.041	12.672	12.348	11.986	11.643	11.223	10.771	10.310
68.0	14.189	17.481	14.005	17.309	16.938	16.819	16.442	16.269	13.660	16.316	16.021	15.872	15.657	15.387	15.083	14.793	14.487	14.160	13.810	13.434	13.002	12.632	12.307	11.941	11.598	11.176	10.726	10.272
69.0	14.209	17.443	14.023	17.269	16.902	16.784	16.409	16.236	13.672	16.276	15.983	15.834	15.620	15.350	15.044	14.754	14.448	14.121	13.771	13.395	12.960	12.589	12.263	11.894	11.550	11.126	10.677	10.232
70.0	14.227	17.404	14.040	17.228	16.865	16.746	16.374	16.201	13.683	16.234	15.944	15.795	15.581	15.311	15.003	14.713	14.407	14.079	13.729	13.353	12.916	12.544	12.217	11.844	11.500	11.074	10.626	10.187
71.0	14.241	17.362	14.053	17.185	16.826	16.706	16.338	16.164	13.690	16.191	15.902	15.753	15.540	15.270	14.959	14.669	14.363	14.036	13.685	13.310	12.869	12.497	12.168	11.792	11.447	11.020	10.572	10.140
72.0	14.253	17.319	14.065	17.141	16.785	16.665	16.299	16.125	13.695	16.145	15.859	15.709	15.497	15.226	14.914	14.624	14.318	13.990	13.640	13.263	12.821	12.447	12.118	11.738	11.392	10.963	10.515	10.090
73.0	14.263	17.275	14.073	17.095	16.743	16.623	16.259	16.085	13.698	16.098	15.814	15.664	15.452	15.181	14.867	14.577	14.271	13.943	13.592	13.215	12.770	12.396	12.065	11.681	11.335	10.904	10.456	10.037
74.0	14.270	17.229	14.080	17.048	16.699	16.578	16.217	16.042	13.699	16.049	15.767	15.617	15.405	15.134	14.819	14.528	14.222	13.893	13.542	13.165	12.717	12.342	12.010	11.623	11.275	10.842	10.395	 9.981
75.0	14.275	17.182	14.084	16.999	16.654	16.533	16.174	15.999	13.697	15.999	15.719	15.568	15.356	15.086	14.768	14.477	14.171	13.842	13.490	13.113	12.663	12.287	11.953	11.562	11.214	10.779	10.331	 9.922
76.0	14.277	17.134	14.086	16.949	16.607	16.485	16.130	15.953	13.693	15.948	15.670	15.518	15.306	15.035	14.716	14.425	14.118	13.789	13.437	13.059	12.607	12.229	11.894	11.500	11.150	10.713	10.265	 9.861
77.0	14.277	17.085	14.086	16.898	16.559	16.437	16.083	15.907	13.687	15.895	15.619	15.466	15.255	14.983	14.663	14.371	14.064	13.734	13.382	13.004	12.548	12.170	11.833	11.436	11.085	10.645	10.196	 9.797
78.0	14.275	17.034	14.084	16.846	16.510	16.387	16.036	15.859	13.678	15.840	15.566	15.413	15.202	14.930	14.607	14.315	14.008	13.678	13.325	12.946	12.489	12.109	11.770	11.369	11.017	10.575	10.126	 9.730
79.0	14.271	16.983	14.079	16.793	16.460	16.337	15.987	15.809	13.668	15.785	15.513	15.358	15.147	14.875	14.551	14.258	13.950	13.620	13.266	12.887	12.427	12.046	11.705	11.301	10.948	10.503	10.053	 9.661
80.0	14.265	16.930	14.073	16.739	16.409	16.285	15.938	15.759	13.656	15.728	15.458	15.302	15.092	14.819	14.493	14.200	13.891	13.560	13.206	12.826	12.364	11.982	11.639	11.231	10.876	10.429	 9.978	 9.590
81.0	14.257	16.877	14.065	16.683	16.356	16.232	15.887	15.707	13.642	15.670	15.402	15.245	15.035	14.761	14.434	14.140	13.831	13.499	13.145	12.764	12.299	11.915	11.571	11.160	10.803	10.354	 9.902	 9.516
82.0	14.247	16.822	14.054	16.627	16.303	16.178	15.835	15.654	13.626	15.611	15.345	15.187	14.976	14.703	14.374	14.079	13.769	13.437	13.082	12.700	12.233	11.848	11.502	11.087	10.728	10.276	 9.823	 9.440
83.0	14.236	16.767	14.043	16.570	16.248	16.123	15.781	15.600	13.608	15.551	15.287	15.128	14.917	14.643	14.312	14.017	13.707	13.373	13.017	12.635	12.165	11.778	11.431	11.012	10.652	10.197	 9.742	 9.362
84.0	14.222	16.711	14.029	16.513	16.193	16.067	15.727	15.545	13.588	15.490	15.228	15.067	14.856	14.581	14.249	13.953	13.642	13.308	12.951	12.568	12.096	11.708	11.358	10.935	10.573	10.115	 9.660	 9.282
85.0	14.207	16.654	14.013	16.454	16.137	16.010	15.672	15.489	13.567	15.428	15.168	15.005	14.795	14.519	14.185	13.889	13.577	13.242	12.884	12.500	12.025	11.635	11.283	10.857	10.494	10.033	 9.575	 9.200
86.0	14.189	16.597	13.996	16.395	16.080	15.952	15.616	15.432	13.544	15.365	15.106	14.943	14.732	14.456	14.120	13.823	13.510	13.174	12.815	12.430	11.953	11.562	11.208	10.778	10.412	 9.948	 9.489	 9.116
87.0	14.171	16.538	13.977	16.335	16.022	15.894	15.559	15.374	13.519	15.301	15.044	14.879	14.668	14.391	14.054	13.756	13.442	13.106	12.745	12.359	11.879	11.487	11.130	10.697	10.329	 9.862	 9.401	 9.029
88.0	14.150	16.479	13.957	16.274	15.964	15.834	15.501	15.316	13.493	15.236	14.982	14.815	14.604	14.326	13.987	13.688	13.373	13.035	12.674	12.287	11.804	11.410	11.052	10.614	10.244	 9.774	 9.311	 8.941
89.0	14.128	16.420	13.935	16.212	15.904	15.774	15.442	15.256	13.465	15.171	14.918	14.749	14.538	14.259	13.918	13.618	13.303	12.964	12.602	12.213	11.728	11.332	10.971	10.530	10.158	 9.685	 9.220	 8.851
90.0	14.105	16.360	13.911	16.150	15.844	15.713	15.383	15.196	13.435	15.105	14.853	14.683	14.471	14.192	13.849	13.548	13.232	12.892	12.529	12.139	11.651	11.253	10.890	10.445	10.070	 9.593	 9.126	 8.759
91.0	14.080	16.299	13.886	16.087	15.783	15.652	15.323	15.134	13.404	15.037	14.788	14.616	14.404	14.123	13.779	13.477	13.159	12.819	12.454	12.063	11.572	11.172	10.807	10.358	 9.981	 9.501	 9.031	 8.665
92.0	14.053	16.237	13.860	16.024	15.722	15.589	15.261	15.072	13.372	14.969	14.721	14.548	14.336	14.054	13.708	13.405	13.086	12.744	12.378	11.985	11.492	11.090	10.723	10.270	 9.890	 9.407	 8.935	 8.569
93.0	14.025	16.175	13.832	15.960	15.659	15.526	15.199	15.009	13.338	14.901	14.654	14.479	14.266	13.983	13.636	13.332	13.012	12.668	12.301	11.907	11.411	11.007	10.637	10.180	 9.798	 9.311	 8.837	 8.471
94.0	13.996	16.112	13.803	15.895	15.597	15.463	15.137	14.946	13.303	14.831	14.586	14.409	14.196	13.912	13.563	13.257	12.936	12.592	12.223	11.828	11.329	10.923	10.550	10.089	 9.704	 9.214	 8.737	 8.371
95.0	13.965	16.049	13.772	15.830	15.533	15.398	15.074	14.881	13.266	14.761	14.518	14.339	14.125	13.840	13.489	13.182	12.860	12.514	12.144	11.747	11.245	10.837	10.462	 9.997	 9.609	 9.115	 8.635	 8.270
96.0	13.933	15.985	13.740	15.764	15.469	15.333	15.009	14.816	13.228	14.690	14.449	14.268	14.054	13.767	13.414	13.106	12.783	12.435	12.064	11.665	11.161	10.750	10.372	 9.903	 9.513	 9.015	 8.532	 8.167
97.0	13.900	15.921	13.707	15.698	15.404	15.268	14.945	14.751	13.189	14.619	14.379	14.196	13.981	13.694	13.338	13.029	12.705	12.356	11.982	11.582	11.075	10.662	10.282	 9.808	 9.415	 8.913	 8.428	 8.063
98.0	13.865	15.856	13.672	15.631	15.339	15.201	14.879	14.684	13.148	14.547	14.308	14.123	13.908	13.619	13.262	12.952	12.625	12.275	11.900	11.498	10.988	10.573	10.190	 9.712	 9.316	 8.810	 8.322	 7.956
99.0	13.829	15.790	13.636	15.563	15.273	15.134	14.813	14.617	13.106	14.474	14.236	14.049	13.834	13.544	13.185	12.873	12.545	12.193	11.817	11.413	10.900	10.483	10.096	 9.614	 9.215	 8.706	 8.214	 7.848
100.0	13.792	15.724	13.599	15.495	15.206	15.067	14.746	14.549	13.063	14.400	14.164	13.975	13.759	13.468	13.106	12.793	12.464	12.111	11.733	11.327	10.811	10.391	10.002	 9.515	 9.113	 8.600	 8.105	 7.738
101.0	13.754	15.658	13.561	15.427	15.139	14.999	14.679	14.480	13.019	14.326	14.091	13.900	13.683	13.391	13.027	12.713	12.382	12.027	11.647	11.240	10.720	10.298	 9.906	 9.415	 9.010	 8.492	 7.994	 7.627
102.0	13.714	15.591	13.522	15.357	15.071	14.930	14.611	14.411	12.973	14.251	14.018	13.824	13.607	13.313	12.948	12.632	12.299	11.942	11.561	11.151	10.629	10.204	 9.809	 9.314	 8.906	 8.383	 7.882	 7.514
103.0	13.674	15.523	13.481	15.288	15.002	14.861	14.542	14.341	12.927	14.176	13.943	13.748	13.530	13.234	12.867	12.549	12.216	11.857	11.473	11.062	10.536	10.109	 9.711	 9.211	 8.800	 8.273	 7.768	 7.399
104.0	13.632	15.455	13.439	15.218	14.933	14.791	14.473	14.271	12.879	14.100	13.869	13.671	13.452	13.155	12.786	12.466	12.131	11.770	11.385	10.972	10.442	10.013	 9.611	 9.107	 8.692	 8.162	 7.653	 7.283
105.0	13.589	15.386	13.396	15.147	14.864	14.721	14.403	14.200	12.830	14.023	13.793	13.593	13.374	13.075	12.704	12.383	12.046	11.683	11.296	10.880	10.348	 9.915	 9.511	 9.002	 8.584	 8.049	 7.537	 7.165
106.0	13.545	15.317	13.352	15.076	14.794	14.649	14.332	14.128	12.779	13.945	13.717	13.514	13.294	12.994	12.621	12.298	11.959	11.595	11.206	10.788	10.252	 9.817	 9.409	 8.895	 8.474	 7.934	 7.418	 7.046
107.0	13.500	15.248	13.307	15.004	14.723	14.578	14.261	14.056	12.728	13.867	13.640	13.435	13.215	12.913	12.537	12.213	11.872	11.506	11.114	10.694	10.155	 9.717	 9.306	 8.788	 8.363	 7.818	 7.299	 6.924
108.0	13.454	15.178	13.261	14.932	14.652	14.506	14.189	13.982	12.676	13.789	13.562	13.355	13.134	12.830	12.452	12.126	11.784	11.416	11.022	10.600	10.057	 9.616	 9.202	 8.679	 8.250	 7.701	 7.178	 6.802
109.0	13.407	15.107	13.214	14.859	14.580	14.433	14.117	13.909	12.622	13.709	13.484	13.275	13.052	12.747	12.367	12.039	11.695	11.324	10.929	10.504	 9.958	 9.514	 9.096	 8.568	 8.136	 7.583	 7.055	 6.678
110.0	13.359	15.036	13.166	14.786	14.508	14.360	14.043	13.834	12.568	13.630	13.405	13.194	12.970	12.663	12.281	11.951	11.605	11.233	10.835	10.408	 9.858	 9.411	 8.990	 8.457	 8.021	 7.463	 6.931	 6.552
